event_id,station,start_time,end_time,fault_type_num,fault_type,affected_variable,original_value,modified_value,severity,injection_parameters
2b2fd239,Bengaluru,2021-11-01 00:00:00,2021-11-01 00:00:00,1,SPIKE,temperature_c,20.3,24.728473614740878,medium,mag=4.43
d3fbf386,Bengaluru,2021-03-10 07:00:00,2021-03-10 07:00:00,1,SPIKE,temperature_c,19.1,34.52625855995171,large,mag=15.43
04b4bb2f,Bengaluru,2023-01-22 00:00:00,2023-01-22 00:00:00,1,SPIKE,relative_humidity_pct,81.0,86.61499399553328,small,mag=5.61
e601405c,Bengaluru,2022-10-31 17:00:00,2022-10-31 17:00:00,1,SPIKE,temperature_c,23.2,21.2551590540749,small,mag=-1.94
8323be29,Bengaluru,2022-09-02 12:00:00,2022-09-02 12:00:00,1,SPIKE,relative_humidity_pct,63.0,46.62554490324089,medium,mag=-16.37
3904e1d1,Bengaluru,2022-01-17 00:00:00,2022-01-17 00:00:00,1,SPIKE,surface_pressure_hpa,917.6,934.3873429692158,large,mag=16.79
ca6175a8,Bengaluru,2021-10-07 21:00:00,2021-10-07 21:00:00,1,SPIKE,relative_humidity_pct,90.0,44.21323941835534,large,mag=-45.79
7bdeca0a,Bengaluru,2021-08-26 09:00:00,2021-08-26 09:00:00,1,SPIKE,temperature_c,24.0,22.041109161733495,small,mag=-1.96
45b5f0f4,Bengaluru,2024-02-27 03:00:00,2024-02-27 03:00:00,1,SPIKE,relative_humidity_pct,95.0,90.5003871042358,small,mag=-4.50
70357688,Bengaluru,2021-03-28 18:00:00,2021-03-28 18:00:00,1,SPIKE,temperature_c,30.0,35.71193378493675,medium,mag=5.71
eed18722,Bengaluru,2021-03-23 08:00:00,2021-03-23 08:00:00,1,SPIKE,temperature_c,24.2,26.23247035048024,small,mag=2.03
fc80ea19,Bengaluru,2021-09-13 20:00:00,2021-09-13 20:00:00,1,SPIKE,temperature_c,22.6,24.878956587531444,small,mag=2.28
16a893fb,Bengaluru,2022-08-21 00:00:00,2022-08-21 00:00:00,1,SPIKE,temperature_c,21.1,16.67250540160164,medium,mag=-4.43
12bd86d4,Bengaluru,2022-09-28 07:00:00,2022-09-28 07:00:00,1,SPIKE,relative_humidity_pct,82.0,77.99568924329715,small,mag=-4.00
a5fdfbdd,Bengaluru,2024-10-11 22:00:00,2024-10-11 22:00:00,1,SPIKE,relative_humidity_pct,98.0,114.71077614076472,medium,mag=16.71
fc62989f,Bengaluru,2021-03-14 11:00:00,2021-03-14 11:00:00,1,SPIKE,relative_humidity_pct,21.0,37.383031904492796,medium,mag=16.38
cdf12885,Bengaluru,2022-06-27 23:00:00,2022-06-27 23:00:00,1,SPIKE,surface_pressure_hpa,913.4,930.6383746021925,large,mag=17.24
